abandon,v./n.放弃；放纵
assimilate,v.同化；吸收
associate,a.联合的；n.合伙人；v.将人或事物联系起来
assorted,a.混杂的
assuage,v.缓和，减轻
assume,v.假定
assumption,n.设想；夺取
assure,v.向某人保证，确信
assured,a.自信的；确定的
asterisk,n.星号
asteroid,n.小行星
asthma,n.哮喘症
astound,v.使震惊
astray,a.迷路的，误入歧途的
astringent,a.止血的，收缩的；n.收缩剂，止血剂
astrolabe,n.星盘(古代星位观测仪)
astrology,n.占星术；占星学
astronomical,a.庞大的
astute,a.机敏的，精明的
asunder,a./adv.分离的；化为碎片
asylum,n.避难所，庇护所
asymmetric,a.不对称的
athletics,n.运动，体育
atonal,a.(音乐)无调的
atrocious,a.残忍的，凶恶的
atrocity,n.残暴，暴行
atrophy,n.萎缩，衰退
attach,v.将某物系在(另一物)上
attain,v.达到，实现
attainment,n.成就
attenuate,v.变薄
attest,(to)v.证明
attic,n.阁楼，顶楼
attorney,n.律师
attribute,n.属性，品质；v.把…归于
attune,(to)v.使调和
auction,n.拍卖
audacious,a.大胆的；愚勇的
audible,a.听得见的
audience,n.听众，观众；读者
audit,v.审计，核对；旁听
auditorium,n.礼堂；观众席
augment,v.增大，增值
augur,n.占卜师；v.占卜
augury,n.预言，征兆，占卜
august,a.威严的，高贵的
auspices,n.资助，赞助
auspicious,a.幸运的；吉兆的
austere,a.朴素的
austerity,n.朴素，艰苦
authentic,a.真正的；法律证实的
authenticity,n.确实性，真实性
authoritarian,n.独裁主义者；极权主义者
authorization,n.授权，认可
autobiography,n.自传
autocracy,n.独裁政府
autocrat,n.独裁者
autonomous,a.自治的
autonomy,n.自治，独立
auxiliary,a.辅助的，协助的
available,a.可用的，可得到的
avalanche,n.雪崩
avant-garde,n.(艺术)先锋派
avarice,n.贪财，贪婪
avaricious,a.贪婪的，贪心的
avenge,v.为…复仇，为…报仇
aver,v.极力声明；断言；确证
averse,a.不愿的，反对的
aversion,n.嫌恶，憎恨
avert,v.避免，防止
aviary,n.大鸟笼，鸟舍
avid,a.渴望的
avoid,v.避开，躲避
avow,v.承认；公开宣称
awe,n./v.敬畏
awe-inspiring,a.令人敬畏的
awkward,a.笨拙的；难用的；不便的
awl,n.(钻皮革的)尖钻
awning,n.遮阳蓬，雨蓬
awry,a.扭曲的，走样的
axiom,n.公理；定理
axis,n.轴(常为虚构之线，如地球轴)
axle,n.轮轴(连接两个车轮的轴)
babble,v.胡言乱语；牙牙学语；喋喋不休
backdrop,n.(事情的)背景，背景幕布
backhanded,a.间接的；反手击球的
backset,n.倒退
bacteria,n.细菌，培养基
bacterium,n.细菌
badge,n.徽章(如校徽等)
badger,n.獾；v.一再烦扰，一再要求
badinage,n.开玩笑，打趣
bail,n.保释金
bait,n.诱饵；v.逗弄；激怒
bale,n.大包裹；灾祸，不幸
baleful,a.邪恶的，恶意的
balk,n.大方木料；v.妨碍；(因困难等)不愿前进或从事某事
ballad,n.歌谣，小曲
ballast,n.(船等)压舱物
ballerina,n.芭蕾舞女演员
balloon,n.气球；v.快速增加
ballot,n./v.投票
balm,n.香油，药膏；镇痛剂
balmy,a.(气候)温和的；芳香的
ban,n.禁令
banal,a.陈腐的
band,n.带子；收音机波段
bandage,n.绷带；v.用绷带包扎
bane,n.祸根
banish,v.放逐某人
banister,n.(楼梯的)栏杆
bankrupt,a.破产的
banquet,n.宴会，盛宴
banter,n.打趣，玩笑
bar,v.禁止，阻挡；n.条，棒
barb,n.(鱼钩的)倒钩；严厉的批评
barbarous,a.野蛮的；残暴的
barbecue,n.烤肉架；烤肉
bard,n.吟游诗人
bare,v.暴露；a.赤裸的
barefaced,a.厚颜无耻的，公然的
bargain,n.交易; 物美价廉的东西；v.讨价还价
barge,n.平底货船，驳船
bark,v./n.狗吠；n.树皮
barn,n.谷仓，牲口棚
barometer,n.气压计；晴雨表
baroque,n./a.(艺术、建筑等)过分雕琢(的)
barrage,n.弹幕
barren,a.不育的；贫瘠的；不结果实的
barricade,v.设栅阻挡；n.栅栏
barrier,n.路障；障碍
barter,v.易货贸易
base,a.卑鄙的
bask,v.晒太阳，取暖
baste,v.倒油脂于(烤肉上，以防烤干)
batch,n.一批，一炉
bathetic,a.假作悲伤的；陈腐的
baton,n.指挥棒(指挥家用)；警棍
battalion,n.军营，军队
bauxite,n.铝土岩(产铝的矿土、石)
bawdy,a.淫猥的，好色的
bazaar,n.集市，商店集中区
beacon,n.烽火；灯塔
beam,n.(房屋等)大梁；光线
bearing,n.关系，意义；方位
beat,v.心跳；搅拌
bedeck,v.装饰，修饰
bedlam,n.混乱，骚乱
befuddlement,n.迷惑不解
begrudge,v.吝啬，勉强给
beholder,n.目睹者，旁观者
behoove,v.理应，有义务
belabor,v.过分冗长地做或说；痛打
belated,a.来得太迟的
beleaguer,v.围攻；骚扰
belie,v.掩饰；证明为假
belittle,v.轻视，贬抑
bellicose,a.好战的，好斗的
belligerence,n.交战；好战性，斗争性
bellwether,n.领导者，领头羊
bench,n.法官席；长凳
bend,v.弯曲；屈服
benediction,n.祝福；祈祷
benefactor,n.行善者，捐助者
benevolent,a.善心的，仁心的
benign,a.慈祥的
benison,n.祝福，赐福
bent,n.特长，爱好；a.弯曲的
bequeath,. 遗赠
bequest,n.遗产，遗赠物
berate,v.猛烈责骂
bereft,a.被剥夺的；缺少的
beset,v.镶嵌；困扰
besiege,v.围攻，困扰
besmirch,v.诽谤
bestial,a.野兽的，残忍的
bestow,v.给予，赐赠
betray,v.背叛；暴露
betroth,v.许配，和…订婚
beverage,n.饮料
bewilder,v.迷惑，混乱
bewildering,a.令人迷惑的；费解的
bibliography,n.文献学；参考书目
bibliophile,n.爱书者，藏书家
bicker,v.为小事争吵
bid,v.命令；出价，投标
bifurcate,v.分为两支，分叉
bigot,n.(宗教、政治等的)盲信者；心胸狭窄者
bile,n.胆汁
bilingual,a.(说)两种语言的
bilk,v.躲债；骗取
billowy,a.如波浪般翻滚的
bin,n.大箱子
biosphere,n.生命层，生物圈
biped,n.二足动物
bit,n.钻头
bizarre,a.奇异的，古怪的
blade,n.刀锋，刀口
blanch,v.使变白；使(脸色)变苍白
bland,a.(人)情绪平稳的；(食物)无味的
blandishment,n.奉承，甘言劝诱
blasphemy,n.亵渎，渎神
blast,>n.一阵(大风)；冲击波；v.爆破；枯萎
blatant,a.厚颜无耻的；显眼的；炫耀的
blazon,n.纹章，装饰；v.精确描绘
bleach,v.漂白
bleak,a.寒冷的；阴沉的；阴郁的，暗淡的
blemish,v.损害；玷污；n.瑕疵，缺点
blight,n.植物枯萎病；v.使…枯萎
blighted,a.枯萎的；衰老的
bliss,n.狂喜；福佑，天赐的福
blissful,a.极幸福的
blithe,a.快乐的，无忧无虑的
blizzard,n.暴风雪
blockade,v./n.封锁
blockage,n.障碍物
blooming,a.有花的；精力旺盛的
blotch,n.(皮肤上的)红斑点；(墨水等)大斑点
blowhard,n.自吹自擂者
blue,a.忧伤的，沮丧的
blueprint,n.蓝图；方案
blunder,v.犯大错；笨拙地做；n.愚蠢之举
blunt,a.钝的；直率的；v.变钝
blur,n.模糊不清的事物；v.使…模糊
blurb,n.简介；印在书籍封套上的推荐广告
blurt,v.脱口而出
blush,v.因某事物脸红；n.因羞愧等脸上泛出的红晕
bluster,v.(指风)猛刮
blustering,a.大吵大闹的
boast,v./n.自夸
bodyguard,n.保镖，侍卫
bog,n.沼泽；v.使…陷入泥沼
boggle,v.畏缩不前；使退缩
bogus,a.假装的，假的
boisterous,a.喧闹的；猛烈的
bolster,n.枕垫；v.支持，鼓励
bolt,v.急逃(to dash out; dart)；螺栓，门栓
bombast,n.高调，夸大之辞
bombastic,a.夸夸其谈的
bondage,n.奴役，束缚
bonnet,n.圆帽，扁平软帽
boom,n.繁荣昌盛时期；v.发出深沉有回响的声音
boon,n.恩惠，天赐福利
boor,n.举止粗野的人；乡下人
boost,v.往上推；增加，提高
bootless,a.无益处的；无用的
bore,v.钻孔；使厌烦；n.孔；令人厌烦的人
boredom,n.厌烦；令人厌烦的事物
boring,a.无趣的，乏味的
botany,n.植物学
boulder,n.巨砾
bouquet,n.花束；芳香
bourgeois,a.中产阶级的；自私拜物的
bout,n.一回合，一阵
boycott,v.抵制(贸易)
brace,v.使稳固，架稳；n.支撑物
bracelet,n.手镯，臂镯
bracing,a.令人振奋的
bracket,n.托架，支架
brag,v.吹嘘
braggadocio,n.吹牛大王；大吹大擂
braggart,n.吹牛者
braid,n.穗子；发辫；v.编成辫子
brake,n.刹车；v.减速，阻止
brand,n.商标；烙印；v.在某事物上打烙印
brandish,v.(威胁性地)挥舞
brash,a.性急的；无礼的
brassy,a.厚脸皮的，无礼的
brat,n.孩子；顽童
bravado,n.故作勇敢，虚张声势
bravura,>n.华美乐段；a.华美的；显示技巧的
brawl,v./n.争吵，打架
brazen,a.厚脸皮的
breach,n.裂缝，缺口；v.打破，裂开；违背
breadth,n.宽度
breed,v.繁殖；教养；n.品种，种类
bribe,v.贿赂
bricklayer,n.砌砖盖房者，泥瓦匠
bridle,n.马笼头；v.抑制，控制
brink,n.(峭壁的)边沿，边缘
brisk,a.敏捷的，活泼的；清新健康的
bristle,n.短而硬的毛发；v.(毛)竖起；发怒
brittle,a.易碎的，脆弱的
broach,v.开瓶；提出(讨论)
brochure,n.小册子，说明书
broker,n.经纪人
bromide,n.平庸的人或话
brood,n.一窝幼鸟；v.孵蛋；冥想
brook,n.小河
browbeat,v.欺侮；吓唬
bruise,v.受伤，擦伤
bruit,v.散布(谣言)
brunt,n.主要冲击力或影响
brusque,a.唐突的，鲁莽的
brutal,a.残忍的；严酷的
brute,n./a.野兽(的)；残忍的(人)
buck,v.反对；n.雄鹿；雄兔
bucket,>n.圆桶
bucolic,a.乡村的；牧羊的
bud,n.芽；花蕾
budge,v.移动一点儿；改变立场
budget,n.预算
buffoon,n.演出时的丑角；粗俗而愚蠢的人
bulb,n.植物的球茎；灯泡
bulge,n./v.膨胀，鼓起
bulk,n.体积；数量；大多数；大身躯
bully,v.以强欺弱，威胁；n.欺负别人者
bumptious,a.傲慢的，自夸的
bungle,v.粗制滥造
buoy,n.浮标；救生圈；v.支持，鼓励
buoyant,a.有浮力的；快乐的
bureaucracy,n.官僚政治
burgeon,v.迅速成长，发展
burial,n.埋葬，埋藏
burlesque,n.讽刺或滑稽的戏剧
burnish,v.擦亮，磨光
bust,n.半身(雕)像
butt,v.用头抵撞，顶撞；n.粗大的一端；烟蒂
buttress,n.拱墙，拱壁；v.支持
byline,n.(列作者名字的)报刊文章首行
byproduct,n.副产品；副作用
bystander,n.旁观者
Byzantine,a.像迷宫似的；难变更的
cabal,n.政治阴谋小集团
cabinet,n.橱柜；内阁
cache,n.贮藏处；v.将…藏于
cacophonous,a.发音不和谐的，不协调的
cacophony,n.难听的声音
cadet,n.军校或警官学校的学生
cadge,v.乞讨；占便宜
cajole,v.(以甜言蜜语)哄骗
calamity,n.大灾祸，不幸之事
calcium,n.钙
calculated,a.蓄意的
calculating,a.深谋远虑的，精明的
calculus,n.微积分学；结石
caldron,n.(煮汤用的)大锅
calibrate,v.量…口径；校准
calipers,n.测径器，双脚规
calligraphy,n.书法
callous,a.结硬块的
callow,a.(鸟)未生羽毛的；(人)未成熟的
calorie,n.卡路里；卡(热量单位)
calumniate,v.诽谤，中伤
calumny,n.诽谤，中伤
cameo,n.浮雕宝石；生动刻画；(演员)出演
camouflage,n./v.掩饰，伪装
campaign,n.战役；竞选活动
canary,n.金丝雀；女歌星
candid,a.率直的
candidacy,n.候选人的资格
candidate,n.候选人；参加考试的人
candor,n.坦白，率直
cane,n.拐杖
canine,a.犬的，似犬的
canny,a.精明仔细的
canon,n.经典，真作
canonical,a.符合规定的；经典的
canopy,n.蚊帐，华盖
cant,n.斜坡，斜面；隐语，术语，黑话；v.使倾斜
cantankerous,a.脾气坏的，好争吵的
canto,n.(长诗的)篇
canvas,n.画布；帆布
canvass,v.细查；拉选票
canyon,n.峡谷
cape,n.披肩，短斗篷；海角
capillary,n.毛细血管
capitulate,v.(有条件地)投降
caprice,n.奇思怪想，变化无常，任性
capricious,a.变化无常的，任性的
capsule,n.荚；胶囊
caption,n.标题
captious,a.吹毛求疵的
captivate,v.迷惑，吸引
capture,v.俘获；夺取或赢得；n.战利品
carafe,n.玻璃瓶
carapace,n.(蟹或龟等的)甲壳
carbohydrate,n.碳水化合物
carcinogen,n.致癌物
cardinal,a.最重要的；n.红衣主教
cardiologist,n.心脏病专家
caress,n.爱抚，抚摸；v.爱抚或抚摸某人
careworn,a.受忧虑折磨的，饱经风霜的
cargo,n.(船、飞机等装载的)货物
caricature,n.讽刺画；滑稽模仿
carnivorous,a.肉食动物的
carol,n.赞美诗，颂歌；v.欢唱
carouse,n.狂饮寻乐
carp,n.鲤鱼；v.吹毛求疵
carpenter,n.木匠
carrion,n.腐肉
cartographer,n.绘制地图者
cartoon,n.漫画
carve,v.雕刻
cast,n.演员阵容；剧团；v.扔；铸造
caste,n.社会等级，等级
castigate,v.惩治，严责
castigation,n.惩罚，苛评
casual,a.偶然的
casualty,n.伤亡事故；伤亡者
cataclysm,n.剧变，灾难(常指大洪水或地震)
catalog,n.目录；系列
catalyst,n.催化剂；促使事情发展的因素
catastrophe,n.突如其来的大灾难
categorical,a.无条件的，绝对的；分类的
category,n.类别，范畴
cater,v.迎合；提供饮食及服务
caterpillar,n.毛毛虫，蝴蝶的幼虫
catharsis,n.宣泄，净化
cathedral,n.总教堂，主教堂
catholic,a.普遍的；广泛的；(人)宽厚的
caucus,n.政党高层会议
caulk,v.填塞(隙缝使不漏水)
causal,a.原因的，因果关系的
caustic,a.腐蚀性的；刻薄的；n.腐蚀剂
cauterize,v.(用腐蚀性物质或烙铁)烧灼(表皮组织)以消毒或止血
cavalier,>n.骑士，武士
cavalry,n.骑兵部队，装甲部队
caveat,n.警告，告诫
cavern,n.大洞穴
cavil,v.挑毛病，吹毛求疵
cavity,n.(牙齿等的)洞，腔
cavort,v.腾越，欢跃
cede,v.割让(土地权利)，放弃
celebrated,a.有名的，知名的
celebrity,n.名声；知名人士
celestial,a.天体的，天上的
cellar,n.地下室；酒窖
cello,n.大提琴
cement,n.水泥；胶粘剂；v.粘合，巩固
censor,v.审查，检查(书报)
census,n.人口统计
centaur,n.人头马怪物
centigrade,a.百分度的，摄氏温度计的
centralization,n.集中；集权化
centurion,n.古罗马的百人队长
ceramic,n.陶瓷制品；a.陶器的
ceramics,n.制陶业)；陶器
cereal,n.谷类；谷类食品
cerebral,a.大脑的；深思的
ceremonious,a.仪式隆重的
ceremony,n.典礼，仪式
certainty,n.确定的事情
certification,n.证明
certitude,n.确定无疑
cessation,n.中止，(短暂的)停止
cession,n.割让，转让
chafe,v.摩擦生热；擦痛；激怒
chaff,n.谷物的皮壳，米糠
chagrin,v./n.失望，懊恼
chalice,n.大酒杯；圣餐杯
