abandon [ə'bændən] v./n.放弃；放纵
acquaintance [ə'kweintəns] n.熟知；熟人
acquainted [ə'kweintid] a.对某事物熟悉的；对某人认识的
acquiesce [,ækwi'es] v.勉强同意，默许
acquired [ə'kwaiəd] a.后天习得的
acquisitive [ə'kwizitiv] a.渴望得到的，贪婪的
acquit [ə'kwit] v.宣告无罪；脱卸义务和责任；还清(债务)
acquittal [ə'kwit(ə)l] n.宣告无罪，开释
acrid ['ækrid] a.辛辣的，刻薄的
acrimonious [ækri'məunjəs] a.尖刻的，严厉的
acrimony ['ækriməni] n.尖刻，刻薄
acrobat ['ækrəbæt] n.特技演员，杂技演员
acrophobia [,ækrəu'fəubjə] n.恐高症
acuity [ə'kjuiti] n.(尤指思想或感官)敏锐
acumen [ə'kju:mən] n.敏锐，精明,聪明
acute [ə'kju:t] a.灵敏的；[病]急性的
adage ['ædidʒ] n.格言，古训
adamant ['ædəmənt] a.强硬的；固执的
adapt [ə'dæpt] v.使„适应；修改
adaptable [ə'dæptəbl] a.有适应能力的；可改编的
addendum [ə'dendəm] n.补充，附录
addict [ə'dikt] v./n.沉溺；上瘾(者)
addition [ə'diʃən] n.增加，附加
additive ['æditiv] n.添加剂
address [ə'dres] v.处理，对付，着手解决；致词
adept ['ædept] a.老练的，精通的
adequate ['ædikwit] a.足够的
adhere [əd'hiə] v.粘着；依附,拥护
adherent [əd'hiərənt] n.拥护者，信徒
adhesive [əd'hi:siv] a.带粘性的，胶粘的；n.胶合剂
adjacent [ə'dʒeisənt] a.接近的，毗连的
adjourn [ə'dʒə:n] v.使延期，推迟；休会
adjunct ['ædʒʌŋkt] n.附加物，附件
adjust [ə'dʒʌst] v.整顿，整理；适应
admire [əd'maiə] v.钦佩，赞赏
admission [əd'miʃən] n.许可；入会费；承认
admonish [əd'mɔniʃ] v.训诫；警告
adobe [ə'dəubi] n.泥砖，土坯
adolescent [,ædəu'lesnt] a.青春期的；n.青少年
adopt [ə'dɔpt] v.收养；采纳
adore [ə'dɔ:] v.崇拜；热爱
adorn [ə'dɔ:n] v.装饰
adroit [ə'drɔit] a.熟练的，灵巧的
adulate ['ædjuleit] v.谄媚，奉承
adulterate [ə'dʌltəreit] v.掺假
adumbrate ['ædʌm,breit] v.(对将来事件)预示
advent ['ædvənt] n.到来，来临
adventitious [,ædven'tiʃəs] a.偶然的
adverse ['ædvə:s] a.不利的，相反的；敌对
advertise ['ædvətaiz] v.做广告
advisable [əd'vaizəbl] a.适当的，可行的,明智的
advocacy ['ædvəkəsi] n.拥护，支持
advocate ['ædvəkit] v.拥护，支持；n.支持者，拥护者
aegis ['idʒis] n.盾；保护，庇护
aerate ['eiəreit] v.充气，让空气进入
aerial ['eəriəl] a.空中的，空气中的
aesthete ['i:sθi:t] n.审美家
aesthetic [i:s'θetik] a.美学的，有审美感的
affable ['æfəbl] a.易于交谈的；和蔼的
affectation [,æfek'teiʃən] n.做作，虚假
affected [ə'fektid] a.不自然的；假装的
affection [ə'fekʃən] n.爱
affidavit [,æfi'deivit] n.宣誓书
affiliate [ə'filieit] v.加入；联合
affiliation [ə,fili'eiʃən] n.联系，联合
affinity [ə'finiti] n.密切关系；(两性)吸引力
affirm [ə'fə:m] v.确认；肯定
affix [ə'fiks] v.粘上，贴上；在合同上添写某事物；n.词缀
afflict [ə'flikt] v.使痛苦，折磨
affliction [ə'flikʃən] n.悲痛，受难的起因
affluence ['æfluəns] n.充裕，富足
affluent ['æfluənt] a.富裕的，丰富的
affordable [ə'fɔ:dəbl] a.能够支付的
affront [ə'frʌnt] v.侮辱，冒犯
agenda [ə'dʒendə] n.议程
agglomerate [ə'ɡlɔməreit] v.凝聚，结块
aggrandize [ə'ɡrændaiz] v.增大，扩张；吹棒
aggravate ['æɡrəveit] v.加重，恶化
aggregate ['æɡriɡeit] v.集合；合计
aggression [ə'ɡreʃən] n.侵略；敌对的情绪或行为
aggressive [ə'ɡresiv] a.好斗的；进取的
aggressor [ə'ɡresə(r)] n.侵略者，攻击者
aggrieve [ə'ɡri:v] v.使受委屈；使痛苦
agile ['ædʒail] a.敏捷的，灵活的
agility [ə'dʒiliti] n.敏捷
agitate ['ædʒiteit] v.搅动，煽动；使不安，使焦虑
agitated ['ædʒiteitid] a.被鼓动的；不安的
agnostic [æɡ'nɔstik] a.不可知论的
agog [ə'ɡɔɡ] a.兴奋的，有强烈兴趣的
agony ['æɡəni] n.极大痛苦
agrarian [ə'ɡreəriən] a.土地的
agreeable [ə'ɡriəbl] a.令人喜悦的；欣然同意的
agronomy [əɡ'rɔnəmi] n.农学，农艺学
ail [eil] v.生病
airborne ['eəbɔ:n] a.空气传播的；空运的
airtight ['eətait] a.密闭的，不透气的
alabaster ['æləbɑ:stə] a.雪白的
alacrity [ə'lækriti] n.乐意，欣然；敏捷，活泼
albeit [ɔ:l'bi:it] conj. 虽然，尽管
alchemy ['ælkimi] n.炼金术
alcove ['ælkəuv] n.凹室
alert [ə'lə:t] a.警惕的，机警的; n.警报
alias ['eiliəs] n.化名，别名
alibi ['ælibai] n.某人当时不在犯罪现场的申辩或证明
alienate ['eiljəneit] v.疏远，离间某人
align [ə'lain] v.将某物排列在一条直线上；与某人结盟
alimentary [,æli'mentəri] a.饮食的，营养的
alkali ['ælkəlai] n.碱
allay [ə'lei] v.减轻，缓和
allege [ə'ledʒ] v.(无证据)陈述，宣称
allegiance [ə'li:dʒəns] n.忠诚，拥护
allegory ['æliɡəri, 'æliɡɔ:ri] n.寓言
allergic [ə'lə:dʒik] a.过敏的；对„讨厌的
allergy ['ælədʒi] n.过敏症；厌恶
alleviate [ə'li:vieit] v.缓和，减轻
allocate ['æləukeit] v.配给，分配
allowance [ə'lauəns] n.津贴，补助；承认，允许
allude [ə'lju:d] v.间接提到，暗指
alluring [ə'ljuəriŋ] a.吸引人的，迷人的
allusion [ə'l(j)u:ʒən] n.暗示，间接提示
aloft [ə'lɔft] adv.在空中，在头顶上
aloof [ə'lu:f] a.冷淡的，疏远的
alphabetical [,ælfə'betikəl] a.按字母表顺序的
alter ['ɔ:ltə] v.改变，更改
alternate [ɔ:l'tə:nit, 'ɔltə:,neit] a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择
altruism ['æltruizəm] n.利他主义；无私
altruistic [,æltru'istik] a.无私的，为他人着想的
aluminium [,ælju:'minjəm] n.铝
amalgam [ə'mælɡəm] n.混合物
amalgamate [ə'mælɡəmeit] v.合并；混合
amass [ə'mæs] v.积聚
amateur ['æmətə(:)] n.业余爱好者
amateurish [,æmə'tə:riʃ] a.业余爱好的，不熟练的
ambidextrous ['æmbi'dekstrəs] a.十分灵巧的
ambiguous [æm'biɡjuəs] a.含糊的
ambivalence [æm'bivələns] n.矛盾心理
ambivalent [æm'bivələnt] a.(对人或物)有矛盾看法的
amble ['æmbl] n./v.漫步，缓行
ambush ['æmbuʃ] v.埋伏；伏击
ameliorate [ə'mi:ljəreit] v.改善，改良
amenable [ə'mi:nəbl] a.愿顺从的，通情达理的
amend [ə'mend] v.修正，(通常向更好的方向)变化
amendment [ə'mendmənt] n.改正，修正；[法]修正案
amenity [ə'mi:niti] n.礼仪；使人感到舒适的事物
amiable ['eimjəbl] a.（人自身性格）和蔼的，亲切的
amicable ['æmikəbl] a.（对外界）友好的
amity ['æməti] n.(人或国之间的)友好关系
amnesia [æm'ni:zjə] n.健忘症
amnesty ['æmnesti] n.大赦，特赦
amorphous [ə'mɔ:fəs] a.无定形的
amortize [ə'mɔ:taiz] v.分期偿还
amphibian [æm'fibiən] n.两栖动物；水陆两用飞行器
ample ['æmpl] a.富足的；充足的
amplify ['æmplifai] v.放大；详述
amplitude ['æmplitju:d] n.广大，广阔
amulet ['æmjulit] n.护身符
amuse [ə'mju:z] v.使愉快，逗某人笑
anachronistic [ə,nækrə'nistik] a.年代出错的
anaerobic [,æneiə'rəubik] a.厌氧的
anagram ['ænəɡræm] n.变形词
analgesia [,ænæl'dʒi:zjə] n.无痛觉，痛觉丧失
analgesic [ænæl'dʒi:sik] n.镇痛剂；a.止痛的
analogous [ə'næləɡəs] a.类似的
analogy [ə'nælədʒi] n.相似；类比
analyze ['ænəlaiz] v.分析，分解
anarchist ['ænəkist] n.无政府主义者
anarchy ['ænəki] n.无政府;政治上的混乱
anathema [ə'næθimə] n.被诅咒的人；宗教意义的诅咒
anatomical [,ænə'tɔmikəl] a.解剖学的
ancestor ['ænsistə] n.祖先，祖宗
ancestry ['ænsistri, 'ænsestri] n.家系
anchor ['æŋkə] v.稳固；固定n.锚
ancillary [æn'siləri] a.辅助的；n.助手
anecdote ['ænikdəut] n.短故事；轶事
anemia [ə'ni:miə] n.贫血，贫血症
anesthetic [,ænis'θetik] n.麻醉剂；a.麻醉的
anguish ['æŋɡwiʃ] n.极大痛苦
angular ['æŋɡjulə] a.有角的；(指人)瘦削的
anhydrous [æn'haidrəs] a.无水的
animate ['ænimit, 'ænimeit] a.活的，有生命的；v.赋予生命
animated ['ænimeitid] a.活泼的，生动的
animation [,æni'meiʃən] n.活泼，有生气；卡通制作
animosity [,æni'mɔsiti] n.憎恶，仇恨
animus ['æniməs] n.敌意，憎恨
annals ['ænəlz] n.编年史
annexation [,ænek'seiʃən] n.并吞，合并
annihilate [ə'naiəlet] v.消灭
annotate ['ænəuteit] v.注解
announce [ə'nauns] v.宣布，发表；通报„的到来
annoy [ə'nɔi] v.惹恼；打搅，骚扰
annul [ə'nʌl] v.宣告无效；取消
anomalous [ə'nɔmələs] a.反常的；不规则的
anomaly [ə'nɔməli] n.异常，反常
anonymity [,ænə'nimiti] n.无名，匿名
anonymous [ə'nɔniməs] a.匿名的
anorexia [,ænə(u)'reksiə] n.厌食症
antagonism [æn'tæɡənizəm] n.反抗，敌意
antagonize [æn'tæɡənaiz] v.使对抗；与„对抗
Antarctic [æn'tɑ:ktik] a.南极的
antecedence [ænti'si:dəns] n.居先，优先
antecedent [,ænti'si:dənt] n.前事；前辈；a.先行的
antediluvian [,æntidi'lu:viən] a.史前的；陈旧的
antenna [æn'tenə] n.触角；天线
anterior [æn'tiəriə] a.较早的，以前的
anthem ['ænθəm] n.圣歌；赞美歌，国歌
anthology [æn'θɔlədʒi] n.诗集，文选
anthropologist [,ænθrə'pɔlədʒist] n.人类学家
antibiotic [,æntibai'ɔtik] n.抗生素；a.抗菌的
antibody ['ænti,bɔdi] n.抗体(身体中的抗病物质)
antic ['æntik] a.古怪的
anticipate [æn'tisipeit] v.预期，期待
anticipatory [æn'tisipeitəri] a.预想的，预期的
anticlimax [,ænti'klaimæks] n.令人扫兴的结局;（演讲）突降法
antidote ['æntidəut] n.解毒药
antihistamine [,ænti'histəmi(:)n] n.(治疗过敏的)抗组胺剂
antipathy [æn'tipəθi] n.反感，厌恶
antiquated ['æntikweitid] a.陈旧的，过时的
antique [æn'ti:k] a.古时的，古老的；n.古物，古董
antiquity [æn'tikwiti] n.古；古人；古迹
antiseptic [,ænti'septik] n.杀菌剂；a.防腐的
antithesis [æn'tiθisis] n.对立；相对
anvil ['ænvil] n.铁砧
aorta [ei'ɔ:tə] n.主动脉
apex ['eipeks] n.顶点，最高点
aphorism ['æfərizm] n.格言
apiary ['eipjəri] n.养蜂场，蜂房
aplomb ['æplɔ:ŋ] n.沉着，镇静
apocalyptic [əpɔkə'liptik] a.预示世界末日的；启示的
apocrypha [ə'pɔkrifə] n.伪经，伪书
apocryphal [ə'pɔkrif(ə)l] a.假冒的，虚假的
apogee ['æpəudʒi:] n.远地点
apologize [ə'pɔlədʒaiz] v.道歉；辩解
apoplectic [,æpəu'plektik] a.中风的；愤怒的
apostasy [ə'pɔstəsi] n.背教，脱党
apostate [ə'pɔstit] n.背教者；变节者
apostrophe [ə'pɔstrəfi] n.书写中撇号(’)(表示省略或所有格)
apothecary [ə'pɔθikəri] n.药剂师
appall [ə'pɔ:l] v.使惊骇，使恐怖
apparatus [,æpə'reitəs] n.仪器，设备
apparel [ə'pærəl] n.(精致的)衣服
apparition [,æpə'riʃən] n.幽灵，神奇的现象
appeal [ə'pi:l] v.恳求；吸引；上诉
appease [ə'pi:z] v.使平静，安抚
appellation [,æpe'leiʃən] n.名称，称呼
appetite ['æpitait] n.欲望，食欲，爱好
appetizer ['æpitaizə(r)] n.开胃品
appetizing ['æpitaiziŋ] a.美味可口的，促进食欲的
applaud [ə'plɔ:d] v.鼓掌表示欢迎或赞赏
applause [ə'plɔ:z] n.鼓掌，喝彩
applicable ['æplikəbl] a.生效的，适合的
applicant ['æplikənt] n.申请人
application [,æpli'keiʃən] n.请求，申请；应用，应用程序
appoint [ə'pɔint] v.任命，指定；约会
apposite ['æpəzit] a.适当的，恰当的
appraise [ə'preiz] v.评价，鉴定
appreciable [ə'pri:ʃiəbl] a.明显的，可观的
appreciate [ə'pri:ʃieit] v.欣赏；感激
apprehend [,æpri'hend] v.逮捕；恐惧
apprehensive [,æpri'hensiv] a.有眼力的；害怕的
apprentice [ə'prentis] n.学徒
apprise [ə'praiz] v.通知，告诉
approach [ə'prəutʃ] v.接近，靠近；着手处理；n.方法
approbation [,æprə'beiʃən] n.称赞，认可
appropriate [ə'prəuprieit] v.拨款；盗用；a.恰当的
approximate [ə'prɔksimeit] a.大约的，估计的
apron ['eiprən] n.围裙
apropos ['æprəpəu] a./adv.适宜的(地)；有关
apt [æpt] a.易于„的；恰当的；聪明的
aptitude ['æptitju:d] n.适宜；才能，资质
aquatic [ə'kwætik] a.水生的，水中的
aqueduct ['ækwi,dʌkt] n.引水渠；高架渠
aquifer ['ækwifə] n.含水土层
arabesque [,ærə'besk] n.蔓藤图饰
arable ['ærəbl] a.可耕的，适合种植的
arbiter ['ɑ:bitə] n.权威人士，泰斗
arbitrary ['ɑ:bitrəri] a.专横的，不理智的
arbitrate ['ɑ:bitreit] v.仲裁，公断
arboreal [ɑ:'bɔ:riəl] a.树木的
arboretum [,ɑ:bə'ri:təm] n.植物园
arcane [ɑ:'kein] a.神秘的，秘密的
arch [ɑ:tʃ] n.拱门，拱形   v.使成拱形
archaeology [,ɑ:ki'ɔlədʒi] n.考古学
archetype ['ɑ:kitaip] n.原型；典型例子
archipelago [,ɑ:ki'peliɡəu] n.群岛
architect ['ɑ:kitekt] n.建筑师
archive ['ɑ:kaiv] n.档案室
arctic ['ɑ:ktik] a.北极的；极寒的
ardent ['ɑ:dənt] a.热心的，热烈的
arena [ə'ri:nə] n.(角斗的)竞技场
argot ['ɑ:ɡəu] n.隐语，黑话
aria ['ɑ:riə] n.独唱曲，咏叹调
arid ['ærid] a.干旱的；枯燥的
aristocracy [,æris'tɔkrəsi] n.贵族；贵族政府，贵族统治
armada [ɑ:'mɑ:də] n.舰队
armistice ['ɑ:mistis] n.休战，停战
armory ['ɑ:məri] n.军械库
aroma [ə'rəumə] n.芳香，香气
aromatic [,ærəu'mætik] a.芬芳的，芳香的
arouse [ə'rauz] v.唤醒；激发
array [ə'rei] v.部署；n.陈列；大批
arrest [ə'rest] v.依法逮捕；阻止，抑制
arresting [ə'restiŋ] a.显著的，引人注意的
arrhythmic [ə'riðmik] a.无节奏的；不规则的
arrogance ['ærəɡəns] n.傲慢，自大
arrogant ['ærəɡənt] a.傲慢的，自大的
arrogate ['ærəuɡeit] v.冒称具有„权利，霸占
arroyo [ə'rɔiəu] n.干涸的河床；小河
arsenal ['ɑ:sinl] n.军械库
arson ['ɑ:sn] n.纵火，放火
artery ['ɑ:təri] n.动脉，命脉
arthritis [ɑ:'θraitis] n.关节炎
articulate [ɑ:'tikjulit] v.清楚说话；连接
artifact ['ɑ:tifækt] n.人工制品
artifacts ['ɑ:tifæks] n.史前古器物
artifice ['ɑ:tifis] n.巧办法；诡计
artificial [,ɑ:ti'fiʃəl] a.人造的，假的
artistry ['ɑ:tistri] n.艺术技巧
artless ['ɑ:tlis] a.粗俗的；自然的
ascendancy [ə'sendənsi] n.统治权，支配力量
ascetic [ə'setik] a.禁欲的；n.苦行者
ascribe [əs'kraib] v.归功于；归咎于
aseptic [æ'septik] a.洁净的；无菌的
asparagus [əs'pærəɡəs] [植]芦笋，龙须菜(可作蔬菜)
aspect ['æspekt] n.(问题等的)方面；面貌，外表
aspen ['æspən] n.白杨
asperity [æs'periti] n.严酷；粗鲁
aspersion [əs'pə:ʃən] n.诽谤，中伤
asphyxiate [æs'fiksieit] v.(使)无法呼吸，窒息而死
aspirant [əs'paiərənt] n.有抱负者
aspiration [,æspə'reiʃən] n.抱负，热望
aspire [əs'paiə] v.向往，有志于
assail [ə'seil] v.(评论)抨击；猛攻
assault [ə'sɔ:lt] n.突然袭击；猛袭
assay [ə'sei] v./n.试验，测定
assemble [ə'sembl] v.集合，聚集；装配
assent [ə'sent] v.同意，赞成
assert [ə'sə:t] v.断言，主张
assertive [ə'sə:tiv] a.过分自信的；有进取心的
assertiveness [ə'sə:tivnis] n.过分自信
assess [ə'ses] v.确定，评定；估计„的质量
assessment [ə'sesmənt] n.估计，评价
asset ['æset] n.财产；优点，长处，可取之处
assiduous [ə'sidjuəs] a.勤勉的；专心的
assimilate [ə'simileit] v.同化；吸收
associate [ə'səuʃieit] a.联合的；n.合伙人；v.将人或事物联系起来
assorted [ə'sɔ:tid] a.混杂的
assuage [ə'sweidʒ] v.缓和，减轻
assume [ə'sju:m] v.假定；承担
assumption [ə'sʌmpʃən] n.设想；夺取
assure [ə'ʃuə] v.向某人保证，确信
assured [ə'ʃuəd] a.自信的；确定的
asterisk ['æstərisk] n.星号
asteroid ['æstərɔid] n.小行星
asthma ['æsmə] n.哮喘症
astound [əs'taund] v.使震惊
astray [əs'trei] a.迷路的，误入歧途的
astringent [əs'trindʒənt] a.止血的，收缩的；n.收缩剂，止血剂
astrolabe ['æstrəleib] n.星盘(古代星位观测仪)
astrology [ə'strɔlədʒi] n.占星术；占星学
astronomical [æstrə'nɔmik(ə)l] a.庞大的
astute [ə'stju:t] a.机敏的，精明的
asunder [ə'sʌndə(r)] a./adv.分离的；化为碎片
asylum [ə'sailəm] n.避难所，庇护所
asymmetric [æsi'metrik] a.不对称的
athletics [æθ'letiks] n.运动，体育
atonal [ei'təunl] a.(音乐)无调的
atrocious [ə'trəuʃəs] a.残忍的，凶恶的
atrocity [ə'trɔsiti] n.残暴，暴行
atrophy ['ætrəfi] n.萎缩，衰退
attach [ə'tætʃ] v.将某物系在(另一物)上
attain [ə'tein] v.达到，实现
attainment [ə'teinmənt] n.成就
attenuate [ə'tenjueit] v.变薄；减弱
attest [ə'test] (to)v.证明
attic ['ætik] n.阁楼，顶楼
attorney [ə'tə:ni] n.律师
attribute [ə'tribju(:)t] n.属性，品质；v.把„归于
attune [ə'tju:n] (to)v.使调和
auction ['ɔ:kʃən] n.拍卖
audacious [ɔ:'deiʃəs] a.大胆的；愚勇的
audible ['ɔ:dəbl] a.听得见的
audience ['ɔ:djəns] n.听众，观众；读者
audit ['ɔ:dit] v.审计，核对；旁听
auditorium [,ɔ:di'tɔ:riəm] n.礼堂；观众席
augment [ɔ:ɡ'ment] v.增大，增值
augur ['ɔ:ɡə] n.占卜师；v.占卜
augury ['ɔ:ɡjuri] n.预言，征兆，占卜
august [ɔ:'ɡʌst] a.威严的，高贵的
auspices ['ɔ:spisiz] n.资助，赞助
auspicious [ɔ:s'piʃəs] a.幸运的；吉兆的
austere [ɔs'tiə] a.朴素的
austerity [ɔs'teriti] n.朴素，艰苦
authentic [ɔ:'θentik] a.真正的；法律证实的
authenticity [,ɔ:θen'tisiti] n.确实性，真实性
authoritarian [ɔ:,θɔri'teəriən] n.独裁主义者；极权主义者
authorization [,ɔ:θərai'zeiʃən] n.授权，认可
autobiography [,ɔ:təbai'ɔɡrəfi] n.自传
autocracy [ɔ:'tɔkrəsi] n.独裁政府
autocrat ['ɔ:təukræt] n.独裁者
autonomous [ɔ:'tɔnəməs] a.自治的
autonomy [ɔ:'tɔnəmi] n.自治，独立
auxiliary [ɔ:ɡ'ziljəri] a.辅助的，协助的
available [ə'veiləbl] a.可用的，可得到的
avalanche ['ævə,lɑ:nʃ] n.雪崩
avant-garde [ævəŋ'ɡɑ:d] n.(艺术)先锋派
avarice ['ævəris] n.贪财，贪婪
avaricious [,ævə'riʃəs] a.贪婪的，贪心的
avenge [ə'vendʒ] v.为„复仇，为„报仇
aver [ə'və:] v.极力声明；断言；确证
averse [ə'və:s] a.不愿的;反对的
aversion [ə'və:ʃən] n.嫌恶，憎恨
avert [ə'və:t] v.避免，防止；避开
aviary ['eivjəri] n.大鸟笼，鸟舍
avid ['ævid] a.渴望的；热心的
avoid [ə'vɔid] v.避开，躲避
avow [ə'vau] v.承认；公开宣称
awe [ɔ:] n./v.敬畏
awe-inspiring [ɔ:in'spaiəriŋ] a.令人敬畏的
awkward ['ɔ:kwəd] a.笨拙的；难用的；不便的
awl [ɔ:l] n.(钻皮革的)尖钻
awning ['ɔ:niŋ] n.遮阳蓬，雨蓬
awry [ə'rai] a.扭曲的，走样的
axiom ['æksiəm] n.公理；定理
axis ['æksis] n.轴(常为虚构之线，如地球轴)
axle ['æksl] n.轮轴(连接两个车轮的轴)
babble ['bæbl] v.胡言乱语；牙牙学语；喋喋不休
backdrop ['bækdrɔp] n.(事情的)背景；背景幕布
backhanded [bæk'hændid] a.间接的；反手击球的
backset ['bækset] n.倒退
bacteria [bæk'tiəriə] n.细菌，培养基
bacterium [bæk'tiəriəm] n.细菌
badge [bædʒ] n.徽章(如校徽等)
badger ['bædʒə] n.獾；v.一再烦扰，一再要求
badinage ['bædinɑ:ʒ] n.开玩笑，打趣
bail [beil] n.保释金  v.保释
bait [beit] n.诱饵；v.逗弄；激怒
bale [beil] n.大包裹；灾祸，不幸
baleful ['beilful] a.有害的，恶意的
balk [bɔ:lk] n.大方木料；v.妨碍；(因困难等)不愿前进或从事某事
ballad ['bæləd] n.歌谣，小曲
ballast ['bæləst] n.(船等)压舱物
ballerina [,bælə'ri:nə] n.芭蕾舞女演员
balloon [bə'lu:n] n.气球；v.快速增加
ballot ['bælət] n./v.投票
balm [bɑ:m] n.香油，药膏；镇痛剂
balmy ['bɑ:mi] a.(气候)温和的；芳香的
ban [bɑ:n] n.禁令
banal [bə'nɑ:l] a.陈腐的
band [bænd] n.带子；收音机波段
bandage ['bændidʒ] n.绷带；v.用绷带包扎
bane [bein] n.祸根
banish ['bæniʃ] v.放逐某人
banister ['bænistə] n.(楼梯的)栏杆
bankrupt ['bæŋkrʌpt] a.破产的
banquet ['bæŋkwit] n.宴会，盛宴
banter ['bæntə] n.打趣，玩笑
bar [bɑ:(r)] v.禁止，阻挡；n.条，棒；酒吧
barb [bɑ:b] n.(鱼钩的)倒钩；严厉的批评
barbarous ['bɑ:bərəs] a.野蛮的；残暴的
barbecue ['bɑ:bikju:] n.烤肉架；烤肉
bard [bɑ:d] n.吟游诗人
bare [beə] v.暴露；a.赤裸的
barefaced [beə'feist] a.厚颜无耻的，公然的
bargain ['bɑ:ɡin] n.交易; 物美价廉的东西；v.讨价还价
barge [bɑ:dʒ] n.平底货船，驳船
bark [bɑ:k] v./n.狗吠；n.树皮
barn [bɑ:n] n.谷仓
baroque [bə'rəuk] n./a.(艺术、建筑等)过分雕琢(的)；（艺术）巴洛克
barrage ['bærɑ:ʒ] n.弹幕
barren ['bærən] a.不育的；贫瘠的；不结果实的
barricade [,bæri'keid] v.设栅阻挡；n.栅栏
barrier ['bæriə] n.路障；障碍
barter ['bɑ:tə] v.易货贸易
base [beis] a.卑鄙的
bask [bɑ:sk] v.晒太阳，取暖
baste [beist] v.倒油脂于(烤肉上，以防烤干)
batch [bætʃ] n.一批，一炉
bathetic [bə'θetik] a.假作悲伤的；陈腐的
baton ['bætən] n.指挥棒(指挥家用)；警棍
battalion [bə'tæljən] n.军营，军队
bauxite ['bɔ:ksait] n.铝土岩(产铝的矿土、石)
bawdy ['bɔ:di] a.淫猥的，好色的
bazaar [bə'zɑ:] n.集市，商店集中区
